DomainName,AreaType,variable,n,min,max,median,q1,q3,iqr,mad,mean,sd,se,ci
B. Wider determinants of health,Counties & UAs (from Apr 2023),Pupil absence 5-15 yrs Persons,1641,1.96,9.18,4.846,4.522,5.374,0.852,0.564,5.104,0.951,0.023,0.046
B. Wider determinants of health,Counties & UAs (from Apr 2023),First time entrants to the youth justice system 10-17 yrs Persons,1876,37.153,2069.419,335.657,197.493,522.733,325.24,223.356,400.996,273.109,6.306,12.367
B. Wider determinants of health,Counties & UAs (from Apr 2023),Adults with a learning disability who live in stable and appropriate accommodation 18-64 yrs Male,1749,30.576,132.692,77.533,70.8,84.273,13.473,9.988,76.724,10.793,0.258,0.506
B. Wider determinants of health,Counties & UAs (from Apr 2023),Adults with a learning disability who live in stable and appropriate accommodation 18-64 yrs Female,1751,30.714,102.564,78.4,71.975,85.246,13.271,9.785,77.611,10.755,0.257,0.504
B. Wider determinants of health,Counties & UAs (from Apr 2023),Adults with a learning disability who live in stable and appropriate accommodation 18-64 yrs Persons,1763,18.2,100,77.8,71.414,84.748,13.333,9.792,77.056,10.74,0.256,0.502
B. Wider determinants of health,Counties & UAs (from Apr 2023),Adults in contact with secondary mental health services who live in stable and appropriate accommodation 18-69 yrs Male,1461,1,92.7,63,47,73.4,26.4,18.829,58.917,19.757,0.517,1.014
B. Wider determinants of health,Counties & UAs (from Apr 2023),Adults in contact with secondary mental health services who live in stable and appropriate accommodation 18-69 yrs Female,1460,0,100,67.4,49.85,78,28.15,19.719,62.473,20.684,0.541,1.062
B. Wider determinants of health,Counties & UAs (from Apr 2023),Adults in contact with secondary mental health services who live in stable and appropriate accommodation 18-69 yrs Persons,1468,1,94.4,65,48,75.3,27.3,19.2,60.351,20.172,0.526,1.033
B. Wider determinants of health,Counties & UAs (from Apr 2023),Violent crime - hospital admissions for violence (including sexual violence) All ages Male,1440,11.458,298.563,77.602,52.954,106.412,53.458,38.786,84.198,40.342,1.063,2.085
B. Wider determinants of health,Counties & UAs (from Apr 2023),Violent crime - hospital admissions for violence (including sexual violence) All ages Female,1425,4.369,78.874,18.485,13.024,25.351,12.327,8.792,20.797,10.848,0.287,0.564
B. Wider determinants of health,Counties & UAs (from Apr 2023),Violent crime - hospital admissions for violence (including sexual violence) All ages Persons,1460,7.461,188.902,47.937,32.975,65.728,32.753,23.755,52.148,24.985,0.654,1.283
B. Wider determinants of health,Counties & UAs (from Apr 2023),"Violent crime - violence offences per 1,000 population All ages Persons",1984,1.304,152.152,19.699,12.202,28.842,16.64,11.881,22.527,13.944,0.313,0.614
B. Wider determinants of health,Counties & UAs (from Apr 2023),The rate of complaints about noise All ages Persons,1315,0.748,731.341,5.378,3.937,9.07,5.133,2.757,9.216,22.388,0.617,1.211
B. Wider determinants of health,Counties & UAs (from Apr 2023),Utilisation of outdoor space for exercise or health reasons 16+ yrs Persons,663,0.303,41.248,16.086,12.271,19.627,7.357,5.468,16.215,6.087,0.236,0.464
B. Wider determinants of health,Counties & UAs (from Apr 2023),Social Isolation: percentage of adult social care users who have as much social contact as they would like 18+ yrs Persons,1746,24.3,61.1,44.1,40.8,47.3,6.5,4.744,44.042,4.629,0.111,0.217
B. Wider determinants of health,Counties & UAs (from Apr 2023),Social Isolation: percentage of adult social care users who have as much social contact as they would like 65+ yrs Persons,1166,13.6,65.9,42.25,38.325,45.9,7.575,5.56,42.104,5.512,0.161,0.317
B. Wider determinants of health,Counties & UAs (from Apr 2023),Gap in the employment rate between those with a physical or mental long term health condition (aged 16 to 64) and the overall employment rate 16-64 yrs Persons,1464,-6.495,30.4,11.8,9,14.526,5.526,4.121,11.824,4.029,0.105,0.207
B. Wider determinants of health,Counties & UAs (from Apr 2023),Gap in the employment rate between those who are in receipt of long term support for a learning disability (aged 18 to 64) and the overall employment rate 18-64 yrs Male,1550,37,87.1,71.1,67.047,75.217,8.17,6.079,70.788,6.445,0.164,0.321
B. Wider determinants of health,Counties & UAs (from Apr 2023),Gap in the employment rate between those who are in receipt of long term support for a learning disability (aged 18 to 64) and the overall employment rate 18-64 yrs Female,1546,34.2,100,63.6,58.4,67.8,9.4,6.94,62.809,7.238,0.184,0.361
B. Wider determinants of health,Counties & UAs (from Apr 2023),Gap in the employment rate between those who are in receipt of long term support for a learning disability (aged 18 to 64) and the overall employment rate 18-64 yrs Persons,1595,40.1,88.3,67.088,62.8,71.005,8.205,6.097,66.591,6.349,0.159,0.312
B. Wider determinants of health,Counties & UAs (from Apr 2023),Sickness absence: the percentage of employees who had at least one day off in the previous week 16+ yrs Persons,1609,0,21.033,2.14,1.753,2.554,0.801,0.599,2.182,0.865,0.022,0.042
B. Wider determinants of health,Counties & UAs (from Apr 2023),Sickness absence:  the percentage of working days lost due to sickness absence 16+ yrs Persons,1608,0.048,15.88,1.24,0.937,1.565,0.629,0.465,1.283,0.685,0.017,0.034
B. Wider determinants of health,Counties & UAs (from Apr 2023),"The percentage of the population exposed to road, rail and air transport noise of 65dB(A) or more, during the daytime All ages Persons",440,0,41.658,4.652,3.12,7.656,4.536,2.93,6.167,4.976,0.237,0.466
B. Wider determinants of health,Counties & UAs (from Apr 2023),"The percentage of the population exposed to road, rail and air transport noise of 55 dB(A) or more during the night-time All ages Persons",440,0,57.494,8.326,5.489,13.24,7.751,5.093,10.723,8.052,0.384,0.754
B. Wider determinants of health,Counties & UAs (from Apr 2023),Children in low income families (all dependent children under 20) 0-19 yrs Persons,1636,0,63.624,20.188,14.673,25.412,10.739,8.037,20.777,7.963,0.197,0.386
B. Wider determinants of health,Counties & UAs (from Apr 2023),School readiness: percentage of children achieving a good level of development at the end of Reception 5 yrs Male,304,45.6,100,59.595,56.895,62.325,5.43,4.033,59.867,4.655,0.267,0.525
B. Wider determinants of health,Counties & UAs (from Apr 2023),School readiness: percentage of children achieving a good level of development at the end of Reception 5 yrs Female,304,60.7,93.94,73.215,70.875,75.112,4.237,3.136,73.098,3.698,0.212,0.417
B. Wider determinants of health,Counties & UAs (from Apr 2023),School readiness: percentage of children achieving a good level of development at the end of Reception 5 yrs Persons,304,53.1,84.21,66.2,63.895,68.7,4.805,3.558,66.314,3.784,0.217,0.427
B. Wider determinants of health,Counties & UAs (from Apr 2023),School Readiness: percentage of children with free school meal status achieving a good level of development at the end of Reception 5 yrs Male,302,16.67,100,42.8,39.1,46.938,7.838,5.819,43.054,6.805,0.392,0.771
B. Wider determinants of health,Counties & UAs (from Apr 2023),School Readiness: percentage of children with free school meal status achieving a good level of development at the end of Reception 5 yrs Female,302,30,77.08,58.39,54.767,61.818,7.05,5.256,58.304,6.12,0.352,0.693
B. Wider determinants of health,Counties & UAs (from Apr 2023),School Readiness: percentage of children with free school meal status achieving a good level of development at the end of Reception 5 yrs Persons,302,25,80,50.095,47.1,54.1,7,5.063,50.537,5.782,0.333,0.655
B. Wider determinants of health,Counties & UAs (from Apr 2023),School readiness: percentage of children achieving the expected level in the phonics screening check in Year 1 6 yrs Persons,1458,46.912,89.141,78.231,73.257,81.596,8.34,5.611,76.091,7.934,0.208,0.408
B. Wider determinants of health,Counties & UAs (from Apr 2023),School readiness: percentage of children achieving the expected level in the phonics screening check in Year 1 6 yrs Male,1315,54.479,88.146,75.353,71.455,78.381,6.926,5.094,74.573,5.538,0.153,0.3
B. Wider determinants of health,Counties & UAs (from Apr 2023),School readiness: percentage of children achieving the expected level in the phonics screening check in Year 1 6 yrs Female,1315,63.158,92.627,82.643,78.97,85.321,6.351,4.576,81.755,5.003,0.138,0.271
B. Wider determinants of health,Counties & UAs (from Apr 2023),School readiness: percentage of children with free school meal status achieving the expected level in the phonics screening check in Year 1 6 yrs Persons,1458,25.455,85.437,64.718,58.116,70.172,12.056,8.529,63.229,9.721,0.255,0.499
B. Wider determinants of health,Counties & UAs (from Apr 2023),School readiness: percentage of children with free school meal status achieving the expected level in the phonics screening check in Year 1 6 yrs Male,1312,27.5,83.971,60.907,55.459,65.896,10.437,7.691,60.586,7.873,0.217,0.426
B. Wider determinants of health,Counties & UAs (from Apr 2023),School readiness: percentage of children with free school meal status achieving the expected level in the phonics screening check in Year 1 6 yrs Female,1312,40.741,100,70.932,65.644,75.743,10.099,7.488,70.399,7.512,0.207,0.407
B. Wider determinants of health,Counties & UAs (from Apr 2023),"Gap in the employment rate for those who are in contact with secondary mental health services  (aged 18 to 69) and on the Care Plan Approach, and the overall employment rate 18-69 yrs Male",1413,49.1,85.3,71.3,67.4,74.7,7.3,5.337,70.936,5.284,0.141,0.276
B. Wider determinants of health,Counties & UAs (from Apr 2023),"Gap in the employment rate for those who are in contact with secondary mental health services  (aged 18 to 69) and on the Care Plan Approach, and the overall employment rate 18-69 yrs Female",1416,30.8,76.4,59.1,54.675,63.225,8.55,6.375,58.963,6.15,0.163,0.321
B. Wider determinants of health,Counties & UAs (from Apr 2023),"Gap in the employment rate for those who are in contact with secondary mental health services  (aged 18 to 69) and on the Care Plan Approach, and the overall employment rate 18-69 yrs Persons",1439,0.3,80,65.3,61.8,68.7,6.9,5.189,65.054,5.473,0.144,0.283
B. Wider determinants of health,Counties & UAs (from Apr 2023),"Violent crime - sexual offences per 1,000 population All ages Persons",1984,0,15.057,1.754,1.094,2.555,1.461,1.071,1.952,1.177,0.026,0.052
B. Wider determinants of health,Counties & UAs (from Apr 2023),Social Isolation: percentage of adult carers who have as much social contact as they would like 18+ yrs Male,146,14.3,58.8,36.05,32.3,41.65,9.35,7.413,36.854,7.727,0.64,1.264
B. Wider determinants of health,Counties & UAs (from Apr 2023),Social Isolation: percentage of adult carers who have as much social contact as they would like 18+ yrs Female,146,18,56.8,33.3,28.325,38.3,9.975,7.413,33.53,7.208,0.597,1.179
B. Wider determinants of health,Counties & UAs (from Apr 2023),Social Isolation: percentage of adult carers who have as much social contact as they would like All ages Persons,147,23.9,60.9,41.4,36.4,46.6,10.2,7.561,41.29,7.431,0.613,1.211
B. Wider determinants of health,Counties & UAs (from Apr 2023),Social Isolation: percentage of adult carers who have as much social contact as they would like 18+ yrs Persons,733,11.7,60.9,33.8,28.2,40.5,12.3,9.044,34.454,8.221,0.304,0.596
B. Wider determinants of health,Counties & UAs (from Apr 2023),Social Isolation: percentage of adult carers who have as much social contact as they would like 65+ yrs Persons,586,11.1,56.4,34.2,29.2,40.375,11.175,8.006,34.699,8.21,0.339,0.666
B. Wider determinants of health,Counties & UAs (from Apr 2023),Social Isolation: percentage of adult carers who have as much social contact as they would like 18-64 yrs Persons,146,17.3,57.1,31.15,26,37.05,11.05,8.303,31.571,7.519,0.622,1.23
B. Wider determinants of health,Counties & UAs (from Apr 2023),Percentage of people in employment 16-64 yrs Male,1776,59.1,100,78.45,74.5,81.9,7.4,5.411,77.994,5.315,0.126,0.247
B. Wider determinants of health,Counties & UAs (from Apr 2023),Percentage of people in employment 16-64 yrs Female,1775,42.6,100,69.4,64.8,73.3,8.5,6.227,68.751,6.38,0.151,0.297
B. Wider determinants of health,Counties & UAs (from Apr 2023),Percentage of people in employment 16-64 yrs Persons,1798,56,100,74,69.9,77.3,7.4,5.337,73.402,5.358,0.126,0.248
B. Wider determinants of health,Counties & UAs (from Apr 2023),Percentage of people in employment 50-64 yrs Persons,1047,48.9,100,71.3,67.6,74.7,7.1,5.337,71.074,5.514,0.17,0.334
B. Wider determinants of health,Counties & UAs (from Apr 2023),Percentage of people in employment 16-24 yrs Persons,1029,12.6,77,53.4,46.2,59.2,13,9.489,52.343,9.74,0.304,0.596
B. Wider determinants of health,Counties & UAs (from Apr 2023),Percentage of people in employment 25-49 yrs Persons,1040,55.4,100,84.6,80.8,87.4,6.6,4.744,84.037,4.963,0.154,0.302
B. Wider determinants of health,Counties & UAs (from Apr 2023),First time offenders 10+ yrs Persons,1586,73.964,857.123,243.421,182.521,320.162,137.64,99.06,262.839,108.854,2.733,5.361
B. Wider determinants of health,Counties & UAs (from Apr 2023),Domestic abuse related incidents and crimes 16+ yrs Persons,1219,9.326,62.251,29.088,23.221,33.769,10.549,8.023,28.701,7.27,0.208,0.409
B. Wider determinants of health,Counties & UAs (from Apr 2023),"16 to 17 year olds not in education, employment or training (NEET) or whose activity is not known 16-17 yrs Male",1035,0,43.214,5.566,4.202,7.076,2.874,2.125,5.961,2.924,0.091,0.178
B. Wider determinants of health,Counties & UAs (from Apr 2023),"16 to 17 year olds not in education, employment or training (NEET) or whose activity is not known 16-17 yrs Female",1035,0,46.452,4.301,3.104,5.662,2.558,1.871,4.638,2.626,0.082,0.16
B. Wider determinants of health,Counties & UAs (from Apr 2023),"16 to 17 year olds not in education, employment or training (NEET) or whose activity is not known 16-17 yrs Persons",1039,0,44.756,4.978,3.686,6.313,2.627,1.951,5.27,2.704,0.084,0.165
B. Wider determinants of health,Counties & UAs (from Apr 2023),School readiness: percentage of children achieving at least the expected level in communication and language skills at the end of Reception 5 yrs Male,153,62.61,85.45,74.5,70.59,76.72,6.13,4.537,73.962,4.065,0.329,0.649
B. Wider determinants of health,Counties & UAs (from Apr 2023),School readiness: percentage of children achieving at least the expected level in communication and language skills at the end of Reception 5 yrs Female,153,75,100,85.37,83.38,86.72,3.34,2.476,85.199,2.961,0.239,0.473
B. Wider determinants of health,Counties & UAs (from Apr 2023),School readiness: percentage of children achieving at least the expected level in communication and language skills at the end of Reception 5 yrs Persons,304,68,100,79.615,77,81.713,4.713,3.41,79.495,3.718,0.213,0.42
B. Wider determinants of health,Counties & UAs (from Apr 2023),Reoffending levels: percentage of offenders who reoffend All ages Persons,743,12.222,45.522,26.607,23.665,29.752,6.087,4.509,26.734,4.668,0.171,0.336
B. Wider determinants of health,Counties & UAs (from Apr 2023),"School readiness: percentage of children achieving at least the expected level of development in communication, language and literacy skills at the end of Reception 5 yrs Male",304,47.1,100,61.8,58.975,64.062,5.087,3.877,61.718,4.728,0.271,0.534
B. Wider determinants of health,Counties & UAs (from Apr 2023),"School readiness: percentage of children achieving at least the expected level of development in communication, language and literacy skills at the end of Reception 5 yrs Female",304,62.1,93.94,74.8,72.2,76.5,4.3,3.41,74.61,3.679,0.211,0.415
B. Wider determinants of health,Counties & UAs (from Apr 2023),"School readiness: percentage of children achieving at least the expected level of development in communication, language and literacy skills at the end of Reception 5 yrs Persons",304,54.5,84.21,68.15,65.585,70.4,4.815,3.484,67.999,3.841,0.22,0.434
B. Wider determinants of health,Counties & UAs (from Apr 2023),Reoffending levels: average number of reoffences per reoffender All ages Persons,738,2.325,6.484,3.766,3.411,4.135,0.724,0.532,3.798,0.543,0.02,0.039
B. Wider determinants of health,Counties & UAs (from Apr 2023),Children in relative low income families (under 16s) <16 yrs Persons,147,5.369,41.664,18.865,15.018,24.186,9.169,7.433,20.294,7.499,0.618,1.222
B. Wider determinants of health,Counties & UAs (from Apr 2023),Children in absolute low income families (under 16s) <16 yrs Persons,147,4.173,35.337,14.428,11.038,18.827,7.79,5.307,15.56,6.099,0.503,0.994
B. Wider determinants of health,Counties & UAs (from Apr 2023),Homelessness: households in temporary accommodation Not applicable Not applicable,498,0,48.565,1.278,0.584,2.953,2.369,1.289,3.599,6.125,0.274,0.539
B. Wider determinants of health,Counties & UAs (from Apr 2023),Homelessness: households owed a duty under the Homelessness Reduction Act Not applicable Not applicable,553,0,32.745,11.583,8.241,16.239,7.998,5.488,12.642,5.52,0.235,0.461
B. Wider determinants of health,Counties & UAs (from Apr 2023),Killed and seriously injured (KSI) casualties on England's roads All ages Persons,888,22.773,784.505,94.683,71.365,146.198,74.833,46.484,129.037,98.68,3.311,6.499
B. Wider determinants of health,Counties & UAs (from Apr 2023),Loneliness: Percentage of adults who feel lonely often or always or some of the time 16+ yrs Persons,149,13.863,36.284,22.526,19.545,25.556,6.01,4.492,22.693,4.077,0.334,0.66
B. Wider determinants of health,Counties & UAs (from Apr 2023),"Fuel poverty (low income, low energy efficiency methodology) Not applicable Not applicable",455,4.362,23.19,13.619,11.082,15.583,4.501,3.465,13.456,3.611,0.169,0.333
B. Wider determinants of health,Counties & UAs (from Apr 2023),The percentage of the population with a physical or mental long term health condition in employment (aged 16 to 64) 16-64 yrs Persons,445,43.4,87.3,64.896,59.479,69.9,10.421,7.782,64.559,7.222,0.342,0.673
B. Wider determinants of health,Counties & UAs (from Apr 2023),The percentage of the population who are in receipt of long term support for a learning disability that are in paid employment (aged 18 to 64) 18-64 yrs Male,873,0,27.869,5.484,3.401,8.895,5.494,3.683,6.602,4.562,0.154,0.303
B. Wider determinants of health,Counties & UAs (from Apr 2023),The percentage of the population who are in receipt of long term support for a learning disability that are in paid employment (aged 18 to 64) 18-64 yrs Female,869,0,25.15,4.268,2.4,7.117,4.717,3.31,5.293,4.06,0.138,0.27
B. Wider determinants of health,Counties & UAs (from Apr 2023),The percentage of the population who are in receipt of long term support for a learning disability that are in paid employment (aged 18 to 64) 18-64 yrs Persons,876,0,26.77,4.962,3.021,8.293,5.272,3.444,6.038,4.253,0.144,0.282
B. Wider determinants of health,Counties & UAs (from Apr 2023),"The percentage of the population who are in contact with secondary mental health services and on the Care Plan Approach, that are in paid employment (aged 18 to 69) 18-69 yrs Male",572,1,30,7,5,9,4,2.965,7.315,3.862,0.161,0.317
B. Wider determinants of health,Counties & UAs (from Apr 2023),"The percentage of the population who are in contact with secondary mental health services and on the Care Plan Approach, that are in paid employment (aged 18 to 69) 18-69 yrs Female",578,1,53,9,6,12,6,4.448,9.962,5.286,0.22,0.432
B. Wider determinants of health,Counties & UAs (from Apr 2023),"The percentage of the population who are in contact with secondary mental health services and on the Care Plan Approach, that are in paid employment (aged 18 to 69) 18-69 yrs Persons",573,0,31,8,5,11,6,4.448,8.459,4.175,0.174,0.343
B. Wider determinants of health,Counties & UAs (pre Apr 2019),"Violent crime - violence offences per 1,000 population All ages Persons",1728,1.304,152.152,18.966,11.955,27.568,15.613,11.122,21.651,13.462,0.324,0.635
B. Wider determinants of health,Counties & UAs (pre Apr 2019),Utilisation of outdoor space for exercise or health reasons 16+ yrs Persons,684,0.303,70.272,16.224,12.365,19.789,7.424,5.633,16.446,6.587,0.252,0.495
B. Wider determinants of health,Counties & UAs (pre Apr 2019),Social Isolation: percentage of adult social care users who have as much social contact as they would like 18+ yrs Persons,1782,24.3,61.1,44.05,40.8,47.3,6.5,4.818,44.055,4.616,0.109,0.214
B. Wider determinants of health,Counties & UAs (pre Apr 2019),Social Isolation: percentage of adult social care users who have as much social contact as they would like 65+ yrs Persons,1182,13.6,65.9,42.3,38.4,46,7.6,5.634,42.161,5.509,0.16,0.314
B. Wider determinants of health,Counties & UAs (pre Apr 2019),School readiness: percentage of children achieving a good level of development at the end of Reception 5 yrs Male,291,45.6,100,59.53,56.8,62.265,5.465,4.047,59.821,4.743,0.278,0.547
B. Wider determinants of health,Counties & UAs (pre Apr 2019),School readiness: percentage of children achieving a good level of development at the end of Reception 5 yrs Female,291,60.7,93.94,73.2,70.735,75.07,4.335,3.217,73.062,3.742,0.219,0.432
B. Wider determinants of health,Counties & UAs (pre Apr 2019),School readiness: percentage of children achieving a good level of development at the end of Reception 5 yrs Persons,291,53.1,84.21,66.2,63.805,68.7,4.895,3.662,66.272,3.842,0.225,0.443
B. Wider determinants of health,Counties & UAs (pre Apr 2019),Social Isolation: percentage of adult carers who have as much social contact as they would like 18+ yrs Male,151,14.3,58.8,36.2,32.3,41.45,9.15,7.265,36.797,7.717,0.628,1.241
B. Wider determinants of health,Counties & UAs (pre Apr 2019),Social Isolation: percentage of adult carers who have as much social contact as they would like 18+ yrs Female,151,18,56.8,33.3,28.55,38.4,9.85,7.413,33.614,7.15,0.582,1.15
B. Wider determinants of health,Counties & UAs (pre Apr 2019),Social Isolation: percentage of adult carers who have as much social contact as they would like All ages Persons,152,23.9,60.9,41.15,36.15,46.55,10.4,7.784,41.175,7.396,0.6,1.185
B. Wider determinants of health,Counties & UAs (pre Apr 2019),Social Isolation: percentage of adult carers who have as much social contact as they would like 18+ yrs Persons,749,11.7,60.9,33.9,28.3,40.5,12.2,8.896,34.541,8.162,0.298,0.585
B. Wider determinants of health,Counties & UAs (pre Apr 2019),Social Isolation: percentage of adult carers who have as much social contact as they would like 65+ yrs Persons,597,11.1,56.4,34.4,29.4,40.4,11,8.154,34.859,8.149,0.334,0.655
B. Wider determinants of health,Counties & UAs (pre Apr 2019),Social Isolation: percentage of adult carers who have as much social contact as they would like 18-64 yrs Persons,151,17.3,57.1,31,26,37,11,8.451,31.552,7.43,0.605,1.195
B. Wider determinants of health,Counties & UAs (pre Apr 2019),Percentage of people in employment 16-64 yrs Male,1783,59.1,100,78.5,74.5,81.9,7.4,5.486,77.99,5.307,0.126,0.246
B. Wider determinants of health,Counties & UAs (pre Apr 2019),Percentage of people in employment 16-64 yrs Female,1782,42.6,100,69.3,64.825,73.2,8.375,6.079,68.741,6.358,0.151,0.295
B. Wider determinants of health,Counties & UAs (pre Apr 2019),Percentage of people in employment 16-64 yrs Persons,1788,56,100,74,69.8,77.225,7.425,5.337,73.373,5.36,0.127,0.249
B. Wider determinants of health,Counties & UAs (pre Apr 2019),Percentage of people in employment 50-64 yrs Persons,1032,48.9,100,71.3,67.575,74.7,7.125,5.337,71.058,5.535,0.172,0.338
B. Wider determinants of health,Counties & UAs (pre Apr 2019),Percentage of people in employment 16-24 yrs Persons,1025,12.6,77,53.4,46.2,59.3,13.1,9.637,52.339,9.774,0.305,0.599
B. Wider determinants of health,Counties & UAs (pre Apr 2019),Percentage of people in employment 25-49 yrs Persons,1034,55.4,100,84.55,80.8,87.4,6.6,4.818,83.993,4.943,0.154,0.302
B. Wider determinants of health,Counties & UAs (pre Apr 2019),Domestic abuse related incidents and crimes 16+ yrs Persons,1008,9.326,62.251,29.568,23.221,33.29,10.069,8.114,28.652,7.203,0.227,0.445
B. Wider determinants of health,Counties & UAs (pre Apr 2019),Loneliness: Percentage of adults who feel lonely often or always or some of the time 16+ yrs Persons,145,13.863,36.284,22.526,19.545,25.556,6.01,4.492,22.708,4.106,0.341,0.674
B. Wider determinants of health,Districts & UAs (2020/21),Pupil absence 5-15 yrs Persons,3440,1.96,9.609,4.827,4.453,5.334,0.881,0.614,5.065,0.979,0.017,0.033
B. Wider determinants of health,Districts & UAs (2020/21),Violent crime - hospital admissions for violence (including sexual violence) All ages Male,2950,7.92,298.563,59.477,42.673,86.468,43.794,29.441,68.629,36.924,0.68,1.333
B. Wider determinants of health,Districts & UAs (2020/21),Violent crime - hospital admissions for violence (including sexual violence) All ages Female,2617,3.76,78.874,15.877,11.292,22.263,10.972,7.697,18.025,9.749,0.191,0.374
B. Wider determinants of health,Districts & UAs (2020/21),Violent crime - hospital admissions for violence (including sexual violence) All ages Persons,3072,6.03,188.902,36.431,26.208,53.012,26.804,18.37,42.005,22.729,0.41,0.804
B. Wider determinants of health,Districts & UAs (2020/21),"Violent crime - violence offences per 1,000 population All ages Persons",3758,1.304,152.152,17.694,10.847,26.047,15.2,10.854,20.232,12.643,0.206,0.404
B. Wider determinants of health,Districts & UAs (2020/21),The rate of complaints about noise All ages Persons,2751,0.023,731.341,4.708,3.416,6.87,3.453,2.31,6.927,15.77,0.301,0.59
B. Wider determinants of health,Districts & UAs (2020/21),Gap in the employment rate between those with a physical or mental long term health condition (aged 16 to 64) and the overall employment rate 16-64 yrs Persons,3032,-11.1,38.5,11.303,7.7,14.822,7.122,5.332,11.209,5.701,0.104,0.203
B. Wider determinants of health,Districts & UAs (2020/21),Sickness absence: the percentage of employees who had at least one day off in the previous week 16+ yrs Persons,3332,0,21.033,2.121,1.563,2.732,1.169,0.864,2.213,1.063,0.018,0.036
B. Wider determinants of health,Districts & UAs (2020/21),Sickness absence:  the percentage of working days lost due to sickness absence 16+ yrs Persons,3337,0,15.88,1.198,0.808,1.646,0.837,0.615,1.297,0.781,0.014,0.027
B. Wider determinants of health,Districts & UAs (2020/21),Children in low income families (all dependent children under 20) 0-19 yrs Persons,3448,0,63.624,15.9,11.629,21.6,9.971,7.121,17.209,7.379,0.126,0.246
B. Wider determinants of health,Districts & UAs (2020/21),"Violent crime - sexual offences per 1,000 population All ages Persons",3758,0,15.057,1.623,0.981,2.354,1.373,1.004,1.783,1.067,0.017,0.034
B. Wider determinants of health,Districts & UAs (2020/21),Percentage of people in employment 16-64 yrs Male,3729,56.6,100,80,75.5,83.9,8.4,6.227,79.706,6.105,0.1,0.196
B. Wider determinants of health,Districts & UAs (2020/21),Percentage of people in employment 16-64 yrs Female,3728,42.6,100,70.9,66.3,75.6,9.3,6.968,70.778,7.111,0.116,0.228
B. Wider determinants of health,Districts & UAs (2020/21),Percentage of people in employment 16-64 yrs Persons,3729,55.8,100,75.6,71.5,79.1,7.6,5.634,75.207,5.742,0.094,0.184
B. Wider determinants of health,Districts & UAs (2020/21),Percentage of people in employment 50-64 yrs Persons,1977,40.4,100,72.4,67.7,76.7,9,6.672,72.24,7.251,0.163,0.32
B. Wider determinants of health,Districts & UAs (2020/21),Percentage of people in employment 16-24 yrs Persons,1925,12.6,100,55.6,47.3,63.9,16.6,12.306,55.907,13.183,0.3,0.589
B. Wider determinants of health,Districts & UAs (2020/21),Percentage of people in employment 25-49 yrs Persons,1980,55.4,100,85.8,82.1,89.6,7.5,5.634,85.618,5.693,0.128,0.251
B. Wider determinants of health,Districts & UAs (2020/21),Reoffending levels: percentage of offenders who reoffend All ages Persons,1539,9.677,45.522,24.894,21.067,28.747,7.68,5.706,24.99,5.511,0.14,0.276
B. Wider determinants of health,Districts & UAs (2020/21),Reoffending levels: average number of reoffences per reoffender All ages Persons,1509,1.75,7.682,3.77,3.359,4.221,0.862,0.648,3.818,0.698,0.018,0.035
B. Wider determinants of health,Districts & UAs (2020/21),Children in relative low income families (under 16s) <16 yrs Persons,305,5.369,41.664,17.432,12.704,21.988,9.284,6.95,18.29,7.102,0.407,0.8
B. Wider determinants of health,Districts & UAs (2020/21),Children in absolute low income families (under 16s) <16 yrs Persons,305,4.173,35.337,12.75,9.484,16.867,7.383,5.531,13.867,5.758,0.33,0.649
B. Wider determinants of health,Districts & UAs (2020/21),Homelessness: households in temporary accommodation Not applicable Not applicable,1044,0,48.565,0.902,0.423,2.167,1.745,0.949,2.396,4.523,0.14,0.275
B. Wider determinants of health,Districts & UAs (2020/21),Homelessness: households owed a duty under the Homelessness Reduction Act Not applicable Not applicable,1110,0,32.745,9.536,6.939,13.828,6.889,4.633,10.897,5.395,0.162,0.318
B. Wider determinants of health,Districts & UAs (2020/21),Killed and seriously injured (KSI) casualties on England's roads All ages Persons,746,22.773,784.505,100.69,74.438,159.158,84.72,52.676,138.23,104.391,3.822,7.503
B. Wider determinants of health,Districts & UAs (2020/21),Loneliness: Percentage of adults who feel lonely often or always or some of the time 16+ yrs Persons,305,11.267,36.284,21.753,18.244,24.714,6.469,4.703,21.758,4.357,0.249,0.491
B. Wider determinants of health,Districts & UAs (2020/21),"Fuel poverty (low income, low energy efficiency methodology) Not applicable Not applicable",904,4.362,23.19,12.593,10.176,14.962,4.785,3.558,12.552,3.584,0.119,0.234
B. Wider determinants of health,Districts & UAs (2020/21),The percentage of the population with a physical or mental long term health condition in employment (aged 16 to 64) 16-64 yrs Persons,915,37.026,92.618,66.228,59.951,72.2,12.249,9.006,66.122,9.115,0.301,0.591
B. Wider determinants of health,Districts & UAs (2020/21),The percentage of the population who are in receipt of long term support for a learning disability that are in paid employment (aged 18 to 64) 18-64 yrs Male,733,0,27.869,5.489,3.415,9.07,5.656,3.839,6.721,4.731,0.175,0.343
B. Wider determinants of health,Districts & UAs (2020/21),The percentage of the population who are in receipt of long term support for a learning disability that are in paid employment (aged 18 to 64) 18-64 yrs Female,730,0,25.15,4.268,2.37,7.195,4.824,3.388,5.387,4.21,0.156,0.306
